no,date,honsuji1,honsuji2,honsuji3,honsuji4,honsuji5,honsuji6,bonus_suji1
1,20001005,02,08,10,13,27,30,39
2,20001012,01,09,16,20,21,43,05
3,20001019,01,05,15,31,36,38,13
4,20001026,16,18,26,27,34,40,13
5,20001102,09,15,21,23,27,28,43
6,20001109,06,12,23,25,28,38,22
7,20001116,07,19,21,23,33,35,26
8,20001123,11,16,18,20,42,43,28
9,20001130,11,19,23,38,39,42,15
10,20001207,01,03,19,21,35,39,26
11,20001214,12,26,32,37,40,42,16
12,20001221,14,17,27,28,35,39,22
13,20001228,13,29,31,37,41,42,17
14,20010104,02,08,11,35,37,38,43
15,20010111,04,06,11,20,21,28,36
16,20010118,05,12,13,29,34,35,30
17,20010125,14,20,25,34,35,36,11
18,20010201,06,16,18,27,36,41,33
19,20010208,04,08,12,30,33,43,14
20,20010215,07,29,33,35,37,39,19
21,20010222,05,07,13,19,38,41,42
22,20010301,08,12,16,19,20,35,41
23,20010308,07,10,28,32,33,40,13
24,20010315,15,18,19,30,36,38,13
25,20010322,11,32,34,37,40,43,08
26,20010329,03,04,11,12,13,43,22
27,20010405,04,08,20,30,33,38,10
28,20010412,06,11,15,20,31,41,07
29,20010419,08,12,20,35,37,40,33
30,20010426,04,16,17,19,26,37,08
31,20010503,07,18,22,25,28,43,04
32,20010510,03,06,07,23,29,41,33
33,20010517,08,17,22,25,29,41,13
34,20010524,02,20,25,30,37,40,10
35,20010531,03,05,13,30,32,41,28
36,20010607,01,16,20,23,30,40,17
37,20010614,03,05,09,17,21,41,26
38,20010621,02,09,26,27,34,43,42
39,20010628,10,18,22,25,39,42,17
40,20010705,05,17,25,34,38,39,02
41,20010712,18,21,27,33,36,38,23
42,20010719,04,15,21,24,33,37,09
43,20010726,01,02,03,15,24,26,27
44,20010802,03,16,24,31,34,42,36
45,20010809,07,09,28,32,36,38,08
46,20010816,11,14,21,24,25,42,41
47,20010823,03,11,14,25,27,31,22
48,20010830,02,05,28,30,33,40,26
49,20010906,02,13,21,31,32,41,35
50,20010913,05,13,15,25,27,39,40
51,20010920,07,15,24,37,38,41,34
52,20010927,01,16,24,25,36,42,21
53,20011004,02,15,23,37,40,43,25
54,20011011,14,25,26,31,37,42,07
55,20011018,11,12,13,14,37,39,28
56,20011025,10,13,25,31,32,42,40
57,20011101,02,14,22,27,35,42,34
58,20011108,04,08,09,13,16,25,28
59,20011115,09,15,17,30,32,41,31
60,20011122,20,21,23,28,30,42,29
61,20011129,04,08,22,25,27,28,06
62,20011206,02,03,09,12,15,30,42
63,20011213,11,16,20,28,34,40,22
64,20011220,02,14,19,22,32,41,09
65,20011227,02,10,22,23,31,43,28
66,20020110,07,15,17,30,33,35,14
67,20020117,01,04,06,11,18,25,03
68,20020124,16,23,30,35,37,39,38
69,20020131,01,09,31,35,40,41,14
70,20020207,06,11,20,23,24,31,17
71,20020214,01,10,11,13,19,20,03
72,20020221,10,12,24,29,33,37,34
73,20020228,01,06,15,19,27,36,25
74,20020307,03,14,27,28,40,43,39
75,20020314,02,04,09,19,23,31,18
76,20020321,01,10,12,16,20,35,29
77,20020328,05,10,15,28,37,38,13
78,20020404,05,14,23,32,33,43,37
79,20020411,20,22,27,32,36,43,23
80,20020418,01,04,12,16,19,34,18
81,20020425,01,11,15,23,26,27,41
82,20020502,10,12,19,25,26,39,28
83,20020509,01,16,21,28,35,37,30
84,20020516,17,19,26,28,35,37,40
85,20020523,05,13,18,22,23,32,28
86,20020530,03,07,16,24,29,36,26
87,20020606,03,08,12,36,39,41,10
88,20020613,05,06,08,20,21,26,30
89,20020620,03,13,23,30,35,43,21
90,20020627,13,15,17,18,30,32,09
91,20020704,13,15,17,26,41,43,06
92,20020711,05,17,20,24,28,40,16
93,20020718,10,23,33,36,37,41,28
94,20020725,11,16,17,18,29,40,09
95,20020801,02,03,12,15,25,27,33
96,20020808,01,13,15,34,36,43,37
97,20020815,04,10,17,34,35,42,43
98,20020822,07,16,34,37,38,39,08
99,20020829,05,09,12,28,29,39,27
100,20020905,06,08,11,14,31,33,23
101,20020912,21,27,29,30,36,40,23
102,20020919,04,05,18,27,35,36,41
103,20020926,01,16,17,27,29,34,39
104,20021003,01,11,17,26,28,35,12
105,20021010,01,09,14,22,25,34,18
106,20021017,08,11,21,22,25,27,26
107,20021024,04,05,11,12,28,32,37
108,20021031,09,22,23,25,34,37,08
109,20021107,02,05,12,18,30,41,24
110,20021114,05,06,08,19,37,41,09
111,20021121,11,15,21,31,32,43,24
112,20021128,16,18,23,25,29,30,41
113,20021205,03,17,27,29,30,42,06
114,20021212,07,13,14,29,38,42,09
115,20021219,08,09,11,27,37,39,18
116,20021226,08,10,15,16,26,31,42
117,20030109,05,07,19,20,38,43,04
118,20030116,09,13,21,30,32,37,20
119,20030123,03,04,11,12,15,30,17
120,20030130,15,18,22,25,36,40,14
121,20030206,03,08,10,22,28,41,35
122,20030213,19,20,21,25,33,42,41
123,20030220,14,21,26,28,29,31,08
124,20030227,04,17,23,30,39,40,28
125,20030306,11,15,19,30,36,41,10
126,20030313,05,06,09,10,21,38,20
127,20030320,14,16,21,26,37,40,03
128,20030327,06,10,18,20,29,39,21
129,20030403,06,18,25,26,30,42,24
130,20030410,22,30,31,34,38,39,02
131,20030417,06,30,33,34,40,43,01
132,20030424,03,18,23,31,32,37,01
133,20030501,17,24,26,35,40,41,16
134,20030508,02,06,11,14,18,19,21
135,20030515,07,13,30,33,35,36,11
136,20030522,03,13,26,31,32,39,01
137,20030529,10,13,20,22,25,42,14
138,20030605,07,09,10,16,23,29,18
139,20030612,10,21,22,28,37,41,12
140,20030619,17,19,29,37,39,40,10
141,20030626,08,09,14,24,32,39,30
142,20030703,02,16,22,27,29,39,38
143,20030710,17,21,22,27,33,41,43
144,20030717,01,16,19,33,38,41,43
145,20030724,01,04,10,21,23,38,07
146,20030731,07,17,27,36,37,39,04
147,20030807,16,18,20,29,30,38,27
148,20030814,03,16,18,20,28,29,09
149,20030821,08,09,13,20,33,37,19
150,20030828,10,11,18,20,31,43,27
151,20030904,03,08,17,25,28,32,27
152,20030911,04,08,12,16,31,33,17
153,20030918,04,07,08,12,25,26,41
154,20030925,07,09,18,26,27,38,14
155,20031002,05,06,07,18,22,27,41
156,20031009,06,20,22,29,30,35,39
157,20031016,05,08,17,19,25,27,21
158,20031023,01,06,12,35,37,38,30
159,20031030,12,23,30,31,38,42,06
160,20031106,04,10,20,30,31,32,26
161,20031113,23,26,28,33,38,42,08
162,20031120,03,22,25,30,33,37,35
163,20031127,02,03,11,17,24,34,28
164,20031204,01,02,13,14,35,38,32
165,20031211,09,11,16,21,25,36,10
166,20031218,14,18,20,28,34,38,17
167,20031225,10,14,17,19,29,42,02
168,20040108,01,06,31,32,36,39,42
169,20040115,03,15,17,19,26,36,39
170,20040122,10,12,15,17,30,31,06
171,20040129,05,06,17,23,32,33,39
172,20040205,10,11,22,23,33,34,27
173,20040212,06,10,22,30,31,35,18
174,20040219,02,09,16,36,38,42,06
175,20040226,02,03,10,22,28,40,43
176,20040304,08,19,25,31,34,37,30
177,20040311,06,18,19,30,36,41,27
178,20040318,10,22,27,30,36,39,04
179,20040325,03,06,11,13,15,16,23
180,20040401,04,10,11,12,20,36,28
