no,date,honsuji1,honsuji2,honsuji3,honsuji4,honsuji5,honsuji6,honsuji7,bonus_suji1,bonus_suji2
1,20130405,07,10,12,17,23,28,34,03,15
2,20130412,20,24,29,31,33,34,35,12,32
3,20130419,02,07,08,11,14,23,31,05,15
4,20130426,12,13,22,23,24,28,29,02,14
5,20130503,01,03,04,05,16,21,28,22,31
6,20130510,05,15,19,23,30,34,35,06,25
7,20130517,01,03,05,07,27,29,33,06,15
8,20130524,02,21,28,29,30,32,36,06,08
9,20130531,03,04,15,23,27,30,36,13,35
10,20130607,01,02,03,06,24,28,30,16,20
11,20130614,09,15,26,29,32,34,36,14,35
12,20130621,11,12,14,19,26,27,33,24,32
13,20130628,06,10,16,21,27,28,35,15,34
14,20130705,04,07,08,09,24,28,30,34,36
15,20130712,02,10,14,17,23,25,35,08,29
16,20130719,05,06,09,13,16,21,23,08,34
17,20130726,02,03,05,22,34,36,37,07,15
18,20130802,12,17,21,24,29,31,36,20,26
19,20130809,02,14,19,20,21,22,31,01,15
20,20130816,02,05,13,20,21,23,28,11,22
21,20130823,01,09,13,15,25,30,33,19,28
22,20130830,02,04,08,09,15,23,25,03,10
23,20130906,04,08,11,25,28,29,30,14,32
24,20130913,04,05,08,10,16,19,33,02,29
25,20130920,01,06,11,16,17,18,21,10,24
26,20130927,11,13,16,18,26,31,36,21,27
27,20131004,01,10,11,14,17,18,28,25,26
28,20131011,06,07,12,15,19,35,37,01,11
29,20131018,02,03,16,17,24,26,28,15,31
30,20131025,06,08,13,22,26,32,36,16,34
31,20131101,09,12,13,19,23,33,34,20,32
32,20131108,03,08,15,18,27,29,37,31,34
33,20131115,01,04,17,24,29,33,36,19,30
34,20131122,04,06,07,23,24,32,35,08,27
35,20131129,01,16,18,19,25,30,34,26,36
36,20131206,05,06,10,11,20,28,36,25,37
37,20131213,07,08,10,13,14,19,37,29,33
38,20131220,04,14,19,22,24,29,34,08,31
39,20131227,07,13,19,23,25,26,30,01,18
40,20140110,02,06,11,23,26,31,34,07,20
41,20140117,02,03,08,15,34,35,36,25,28
42,20140124,02,15,16,17,23,31,33,08,26
43,20140131,04,06,07,08,24,31,37,05,13
44,20140207,03,04,06,15,27,28,29,01,14
45,20140214,01,02,09,18,21,27,33,25,31
46,20140221,02,05,06,15,23,27,30,04,35
47,20140228,02,09,11,14,20,21,36,06,15
48,20140307,03,05,24,26,29,30,34,08,35
49,20140314,08,11,12,17,24,26,27,14,21
50,20140321,03,04,07,08,15,24,29,11,16
51,20140328,01,04,05,08,20,23,35,15,33
52,20140404,08,10,22,24,26,32,34,05,09
53,20140411,01,04,14,16,20,33,36,12,30
54,20140418,01,03,05,10,18,22,23,07,35
55,20140425,04,12,14,17,23,30,36,13,33
56,20140502,04,23,26,27,28,32,36,29,30
57,20140509,05,06,12,16,17,20,33,08,32
58,20140516,01,06,07,08,23,32,33,11,34
59,20140523,05,08,12,13,21,30,35,27,34
60,20140530,03,07,09,15,16,23,34,05,33
61,20140606,05,10,11,21,28,31,37,13,14
62,20140613,04,10,12,15,27,32,33,09,16
63,20140620,04,08,19,24,28,30,32,12,37
64,20140627,04,15,16,17,20,29,36,19,26
65,20140704,04,07,12,22,23,24,28,25,34
66,20140711,01,11,25,28,31,33,37,03,20
67,20140718,07,11,15,17,18,25,35,06,33
